NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,DIMENSIONS
IMPHTC,,...,Heat transfer and conduction explicit/implicit flag,NONE
IMPMOB,,0,Explicit/implicit flag for the couple-motion GMO coupling with fluid ,NONE
IMPVIS,,0,Viscous stress calculation explicit/implicit flag,NONE
IMPELS,,0,Elastic stress calculation explicit/implicit flag,NONE
IMPSFT,,0,Surface tension and capillary pressure explicit/implicit flag,NONE
ITIMP3,,1,Flag to indicate if iteratively update velocity boundary condition,NONE
FFEMF,,...,Finite element (FE) mesh file name for the solidified fluid region,NONE
IFFEMF,,0,Flag to use finite element (FE) mesh file for the thermal stress evolution (TSE) solver in the solidified fluid region,NONE
IFSIOUT,,0,Flag to export Tecplot\ |reg| compatible output file(s) for fluid-structure interaction (FSI) and thermal stress evolution (TSE) models,NONE
IEXODUSOUT,,0,Flag to export :program:`EXODUS II`\ |reg| compatible output file(s) for fluid-structure interaction (FSI) and thermal stress evolution (TSE) models,NONE
ITIMER,,0,Flag to activate built-in wall clock timers in the solver,NONE
IBENCH,,0,Flag to output history plot data in text format. The history variables that are output are the same that are automatically plotted and stored in the :file:`flsplt` file at the end of each calculation.,NONE
ICMPRS,,0,Compressible flow option (mass conservation equation),NONE
IPOT,,0,Flag for potential flow calculation,NONE
ITB,,0,Indicator for free surfaces or sharp interfaces,NONE
NMAT,,...,Number of materials,NONE
IFVELP,,0,Fluid flow solver options,NONE
NGLOBALS,,0,Number of global conditions,NONE
CONDITION_NAME_GLOBAL,n,,Name for global condition :envvar:`n` (up to 50 characters),NONE
IF_ENABLED_GLOBAL,n,1,Activation flag for global condition :envvar:`n`,NONE
NPROBES_GLOBAL,n,0,Number of probe conditions for global condition :envvar:`n`,NONE
CONDITION_LOGIC_GLOBAL,n,,Logical operator between probe conditions for global condition :envvar:`n`,NONE
IF_CONDITION_ENABLED_GLOBAL,"k,n",1,Activation flag for probe condition :envvar:`k`,NONE
IPRBD_GLOBAL,"k,n",0,Probe id for probe condition :envvar:`k`,NONE
IPRBSC_GLOBAL,"k,n",0,Scalar id for probe condition :envvar:`k`,NONE
IPRBSCN_GLOBAL,"k,n",0,Additional scalar index for probe condition :envvar:`k`,NONE
PRBVNAM_GLOBAL,"k,n",,Probe variable name for probe condition :envvar:`k`,NONE
IFPRBVABS_ GLOBAL,"k,n",0,Specify if to use the absolute probe variable value for probe condition :envvar:`k`,NONE
PRBVROP_GLOBAL,"k,n",,Probe variable relational operator for probe condition :envvar:`k`,NONE
PRBVAL_CRITICAL_GLOBAL,"k,n",0.0,Critical value for probe condition :envvar:`k`,NONE
PRBDT_GLOBAL,"k,n",0.0,Duration after the critical value has reached for probe condition :envvar:`k`,[t]
IACCF,,0,Non-inertial reference frame flag,NONE
GX,,0.0,Gravity component in x-direction,[L/t\ :sup:`2`]
GY,,0.0,Gravity component in y-direction,[L/t\ :sup:`2`]
GZ,,0.0,Gravity component in z-direction,[L/t\ :sup:`2`]
IPDIS,,0,Flag for initial hydrostatic pressure distribution,NONE
IFREST,,0,Restart activation flag,NONE
IEVENT_RST,,1,Active simulation control events restart flag,NONE
DELTR,,...,Initial time-step size for restart calculation,[t]
IACRST,,0,Non-inertial reference frame restart options,NONE
IFVFRST,,0,Flag for fluid fraction initialization during restart,NONE
IHTRST,,0,Restart temperature options,NONE
IHTRST2,,0,Restart component temperature options,NONE     
IRESF1,,0,Fluid condition restart flag,NONE
IRESV,,0,Fluid velocity condition restart flag,NONE
IRSTOE,,...,Flag for restart based on fluid temperature or energy,NONE
ISCRST,,0,Restart scalar transport options,NONE
ITRST,,0,Restart time flag,NONE
ITURST,,0,Restart turbulence options,NONE
TREST,,...,Restart calculation time,[t]
IFIED,,1,Flag for writing the spatial data edit at the start of simulation,NONE
IFCOMP_VF,,1,Flag for writing the volume fraction data for individual components. ,NONE     
RESFILE,,""" ""","Name of the restart source file, e.g. :envvar:`resfile` = :file:`'flsgrf.dat'`",NONE
ALPHA,,1.0,Controls weighting of upstream values in advection approximations when :envvar:`IORDER` = 1,NON-DIM
ALPHA_SWAT,,1.0,Controls weighting of upstream values in advection approximations in the shallow water model when :envvar:`IORDER_SWAT` = 1,NON-DIM
ALPHAMB,,0.25 ,Controls weighting of Neumann- and Dirichlet-type boundary conditions for pressure at inter-block boundaries: ,NON-DIM
CFPK,,1.0,Multiplies F-packing term (for :envvar:`IFPK` :math:`>` 0),NON-DIM
FCLEAN,,0.0,"Fluid fraction cleanup coefficient for fluid #1. Throws away fluid #1 ""mist"" regions where local (isolated) fluid fraction within a cell is less than :envvar:`FCLEAN`.",NON-DIM
FCLEAN2,,0.0,"Complement of fluid fraction cleanup coefficient for fluid #2. Throws away fluid #2 ""mist"" regions where local (isolated) fluid fraction complement, :math:`1-F`, within a cell is less than :envvar:`FCLEAN2`.",NON-DIM     
IFLOSS,,0,Flag for the treatment of possible secular instabilities in the flow solution,NONE
IFPK,,...,Flag for F-packing,NONE
IFVOF,,...,Flag for F advection options,NONE
IHELP,,1,Flag for mentor help feature,NONE
IORDER,,1,Momentum equation approximation flag,NONE
IORDER_SWAT,,3,Momentum equation approximation flag for the shallow water model,NONE
IELADV,,1,Advection flag for elastic stress tensor components. Advection can be turned off for simulations where there are very large elastic stresses with only small movements.,NONE
ISTDY,,0,Steady state accelerator for compressible flow,NONE
IAUTOSET,,0,Flag to use algorithm to automatically adjust subspace size used for GMRES pressure solver.,NONE
IAUTOSETFSI,,0,Flag to use algorithm to automatically adjust subspace size used for GMRES fluid structure interaction (FSI) and thermal stress evolution (TSE) solver.,NONE
IFSIPRCND,,1,Flag to use preconditioning algorithm that can improve convergence of the  GMRES fluid structure interaction (FSI) and thermal stress evolution (TSE) solver.,NONE
SSACC,,0.0,"Damping rate coefficient for steady-state acceleration for free surface flows. Used when positive, and :envvar:`NMAT` = 1 and :envvar:`ITB` = 1.",NON-DIM  
SSCOF,,0.0,Damping coefficient for capillary waves. Used when positive and :envvar:`IFSFT` = 1.,NON-DIM    
IOPT_FSI_GMRES,,1,Flag specifying the FSI solver algorithm. ,NONE
IACCF,,0,Non-inertial reference frame flag,NONE
ICAV,,0,Cavitation option,NONE
ICAVMODEL,,0,Cavitation model selection,NONE
ICAV_VOID,,1,Cavitation void opening option,NONE
ICHM,,0,Reaction kinetics option,NONE
ICLID,,0,Flag for the collision model. Only applied to the coupled-motion General Moving Object (GMO) components,NONE
ICMPRS,,0,Compressible flow option (mass conservation equation),NONE
IDPTH,,0,Hydraulics output data flag,NONE
IFSFT,,0,Surface tension flag,NONE 
IFDFT,,0,Drift-flux model flag,NONE
IFDFT_TYPE,,...,Flag for the type of dispersed phase in the two-phase drift-flux model,NONE     
IFGRN,,0,Granular flow model flag,NONE
IFDRYING,,0,Moisture drying model flag,NONE
IFMST,,1,Initial moisture content flag,NONE
IFLFOAM,,0,Lost foam model flag,NONE
IFVISWAT,,2,Flag for viscous flow for shallow water model.,NONE
IELAST,,0,Visco-elastic-plastic stress model flag. The model simulates elastic stresses within fluid.,NONE
IELADV,,1,Advection flag for elastic stress tensor components. Advection can be turned off for simulations where there are very large elastic stresses with only small movements.,NONE
IFENRG,,...,Flag for internal energy evaluation,NONE
IFRHO,,...,Flag for density evaluation,NONE
IFTHEXP,,0,Thermal expansion flag for flow with density a function of temperature,NONE
IFSPRAY,,0,Spray cooling model activation flag for thermal die cycling simulations,NONE
IFSLD,,0,Solidification model flag,NONE
IFSLD_DRG,,1,Solidified fluid flow model flag,NONE
IFIRON,,0,Iron solidification model flag,NONE
ITHRMST,,0,Flag for the thermal stress evolution (TSE) model,NONE
ITETTSE,,0,"Flag to use tetrahedral meshing to generate the mesh of the solidified fluid region of the thermal stress evolution model. Default is hexahedral meshes, and this value is overridden when reading in an existing mesh from a file (see :envvar:`IFFEMF` in :ref:`namelistXPUTFileControlOptions`).",NONE
ICPLTSE,,0,Flag to control coupling between the solidified fluid region (the Thermal Stress Evolution region) and neighboring Fluid Structure Interaction (FSI) components (see :envvar:`IFSI(m)` in :ref:`ComponentPropertiesFluidStructureInteractionFSImodel`). Default is only basic constraining/non-constraining behavior between the TSE region and neighboring FSI components (see :envvar:`IFSOFT(m)` in :ref:`ComponentPropertiesThermalStressEvolutionTSEModel`).,NONE
FRCTTSE,,0.0,"Friction coefficient between Thermal Stress Evolution (TSE) region and neighboring Fluid Structure Interaction (FSI) components. A negative value indicates that the coefficient is infinite (i.e., tangential traction is not limited), and a positive value indicates the friction coefficient. Its value represents the ratio between the limit of the magnitude of tangential traction to the normal traction between the TSE region and the component face. Physical values are typically less than 1.0.",NONE
IRMFLUX,,0,Flag for the net volume flux at mesh wave boundaries,NONE    
IFVIS,,0,Viscosity and turbulence options flag,NONE
IFVISC,,0,Viscous flow flag,NONE
IFMU,,...,Force output of fluid dynamic viscosity,NONE
IHTC,,0,Fluid/component heat transfer flag ,NONE
IMEMB,,0,Deforming elastic membrane and wall model flag,NONE
IMOBS,,0,General moving object (GMO) model flag,NONE
IMUT,,0,Thixotropic viscosity flag,NONE
INCG,,0,Non-condensable gas model flag,NONE
IRSAT,,0,Flag to control input parameters for non-condensable gas model,NONE
IPHCHG,,0,Phase change and bubble model flag,NONE
ICROTBC,,0,Flag for adding counter rotating flow component at inlet mesh boundaries for non-inertial reference frame (RF) motion model (:envvar:`IACCF` :math:`>` 0),NONE
ISCOUR,,0,Flag for sediment scour model ,NONE     
ISCPOT,,...,Flag for the output of the wall shear stress ,NONE     
ISHRNK,,0,Solidification shrinkage flag,NONE
ISHRNK2,,0,Type of feeding flag for the simple solidification shrinkage model,NONE
IMUPOR,,0,Microporosity model flag,NONE
ISTNR,,0,Strain rate calculation flag,NONE
ISWAT,,0,Shallow water model flag,NONE
ITB,,0,Indicator for free surfaces or sharp interfaces,NONE
ITHEAD,,0,Flag for the output of the total hydraulic head,NONE
IVISH,,0,Viscous heating flag,NONE
IVORT,,0,Vorticity output flag,NONE
IWSH,,1,Wall shear stress flag,NONE
NMAT,,...,Number of materials,NONE
OFFSET,,0.0,Distance in z-direction above the bottom of a reservoir at which velocity is computed and stored as part of the Hydraulic data output.,NONE
RHOAIR,,...,"Air density for use in the calculation of wind shear stress on horizontal fluid surfaces, air drag for mooring lines, ",[M/L\ :sup:`3`] 
TAUBC,,0.0,Relaxation time for fluid elevation change at rating curve and natural inlet boundaries. Used to dampen out possible noise in highly transient ,[t]       
IDBG,,0,Flag for additional debug data edits,NONE
IEDT,,1,Selects the basis for long print and spatial plot intervals,NONE
IOVOID,,0,Void ID tracking flag,NONE
ISOLID,,...,"Controls use of optional solidification output data (i.e., solidification time, cooling rate at solidification, etc.)",NONE
LPR,,1,Debug level,NONE
NCYCPT,,1,"Output control for thermal die cycling model; restart spatial data is written for the last :envvar:`NCYCPT` die cycles, in addition to the other requested restart spatial data edits using :envvar:`TPLTD`.",NONE
PLTFRC,,0.1,Interval for restart spatial plots based on fill fraction (:envvar:`IEDT` = 2) or solid fraction (:envvar:`IEDT` = 3).,NON-DIM
PLTAFRC,,0.01,Interval for selected spatial plots based on fill fraction (:envvar:`IEDT` = 2) or solid fraction (:envvar:`IEDT` = 3).,NON-DIM
SLDDT,,TWFIN,,Edit interval for writing spatial solidification data to :file:`flsgrf`,[t]
TAPLTD,n,TWFIN` /10,,Selected spatial data output interval from :envvar:`TEDIT(n-1)` to :envvar:`TEDIT(n)` ,[t]
TEDIT,n,...,Ending time of edit interval :envvar:`n`. Not used if unspecified. ,[t]
THPLTD,n,TWFIN` /100,,History plot interval from :envvar:`TEDIT(n-1)` to :envvar:`TEDIT(n)`,[t]
TPLTD,n,TWFIN` /1,,Restart spatial plot interval from :envvar:`TEDIT(n-1)` to :envvar:`TEDIT(n)`,[t]
NEVENTS_RESTART,,0,Number of events for restart data interval,NONE
EVENT_NAME_RESTART,m,' ',Event :envvar:`m` name (up to 50 characters),NONE
IF_EVENT_ENABLED_RESTART,m,1,Event :envvar:`m` enable/disable flag,NONE
IF_GLOBAL_RESTART,m,0,Global condition flag for event :envvar:`m`,NONE
IGLOBAL_RESTART,m,0,Global condition id for event :envvar:`m` (used if :envvar:`IF_GLOBAL_RESTART(m)` = 1),NONE
NPROBES_RESTART,m,0,Number of local probe conditions for event :envvar:`m` (used if :envvar:`IF_GLOBAL_RESTART(m)` = 0),NONE
EVENT_CONDITION_LOGIC_RESTART,m,' ',Logical operator between probe conditions for event :envvar:`m`,NONE
EVENT_ACTION_RESTART,m,' ',Event action for event :envvar:`m`,NONE
TPLTD_EVENT,"t,m",0.0,New :envvar:`TPLTD` table for event :envvar:`m`,NONE
PLTFRC_EVENT,"t,m",0.0,New :envvar:`PLTFRC` table for event :envvar:`m`,NONE
IF_CONDITION_ENABLED_RESTART,"k,m",1,Probe condition :envvar:`k` enable/disable flag,NONE
IPRBD_RESTART,"k,m",0,Probe id for probe condition :envvar:`k`,NONE
IPRBSC_RESTART,"k,m",0,Scalar id for probe condition :envvar:`k`,NONE
IPRBSCN_RESTART,"k,m",0,Additional scalar index for probe condition :envvar:`k`,NONE
PRBVNAM_RESTART,"k,m",...,Probe variable name for probe condition :envvar:`k`,NONE
IFPRBVABS_RESTART,"k,m",0,Specify if to use the absolute probe variable value for probe condition :envvar:`k`,NONE
PRBVROP_RESTART,"k,m",' ',Probe variable relational operator for probe condition :envvar:`k`,NONE
PRBVAL_CRITICAL_RESTART,"k,m",0.0,Critical value for probe condition :envvar:`k`,NONE
PRBDT_RESTART,"k,m",0.0,Duration after the critical value has reached for probe condition :envvar:`k`,[t]
NEVENTS_SELECTED,,0,Number of events for selected data interval,NONE
EVENT_NAME_SELECTED,m,' ',Event :envvar:`m` name (up to 50 characters),NONE
IF_EVENT_ENABLED_SELECTED,m,1,Event :envvar:`m` enable/disable flag,NONE
IF_GLOBAL_SELECTED,m,0,Global flag for event :envvar:`m`,NONE
IGLOBAL_SELECTED,m,0,Global flag id event :envvar:`m` (used if :envvar:`IF_GLOBAL_SELECTED(m)` = 1),NONE
NPROBES_SELECTED,m,0,Number of local probe conditions for event :envvar:`m` (used if :envvar:`IF_GLOBAL_SELECTED(m)` = 0),NONE
EVENT_CONDITION_LOGIC_SELECTED,m,' ',Logical operator between probe conditions for event :envvar:`m`,NONE
EVENT_ACTION_SELECTED,m,' ',Event action for event :envvar:`m`,NONE
TAPLTD_EVENT,"t,m",0.0,New :envvar:`TAPLTD` table for event :envvar:`m`,NONE
PLTAFRC_EVENT,"t,m",0.0,New :envvar:`PLTAFRC` table for event :envvar:`m`,NONE
IF_CONDITION_ENABLED_SELECTED,"k,m",1,Probe condition :envvar:`k` enable/disable flag,NONE
IPRBD_SELECTED,"k,m",0,Probe id for probe condition :envvar:`k`,NONE
IPRBSC_SELECTED,"k,m",0,Scalar id for probe condition :envvar:`k`,NONE
IPRBSCN_SELECTED,"k,m",0,Additional scalar index for probe condition :envvar:`k`,NONE
PRBVNAM_SELECTED,"k,m",...,Probe variable name for probe condition :envvar:`k`,NONE
IFPRBVABS_SELECTED,"k,m",0,Specify if to use the absolute probe variable value for probe condition :envvar:`k`,NONE
PRBVROP_SELECTED,"k,m",' ',Probe variable relational operator for probe condition :envvar:`k`,NONE
PRBVAL_CRITICAL_SELECTED,"k,m",0.0,Critical value for probe condition :envvar:`k`,NONE
PRBDT_SELECTED,"k,m",0.0,Duration after the critical value has reached for probe condition :envvar:`k`,[t]
NEVENTS_HISTORY,,0,Number of events for history data interval,NONE
EVENT_NAME_HISTORY,m,' ',Event :envvar:`m` name (up to 50 characters),NONE
IF_EVENT_ENABLED_HISTORY,m,1,Event :envvar:`m` enable/disable flag,NONE
IF_GLOBAL_HISTORY,m,0,Global condition flag for event :envvar:`m`,NONE
IGLOBAL_HISTORY,m,0,Global condition id for event :envvar:`m` (used if :envvar:`IF_GLOBAL_HISTORY(m)` = 1),NONE
NPROBES_HISTORY,m,0,Number of local probe conditions for event :envvar:`m` (used if :envvar:`IF_GLOBAL_HISTORY(m)` = 0),NONE
EVENT_CONDITION_LOGIC_HISTORY,m,' ',Logical operator between probe conditions for event :envvar:`m`,NONE
EVENT_ACTION_HISTORY,m,' ',Event action for event :envvar:`m`,NONE
THPLTD_EVENT,"t,m",0.0,New :envvar:`THPLTD` table for event :envvar:`m`,NONE
IF_CONDITION_ENABLED_HISTORY,"k,m",1,Probe condition :envvar:`k` enable/disable flag,NONE
IPRBD_HISTORY,"k,m",0,Probe id for probe condition :envvar:`k`,NONE
IPRBSC_HISTORY,"k,m",0,Scalar id for probe condition :envvar:`k`,NONE
IPRBSCN_HISTORY,"k,m",0,Additional scalar index for probe condition :envvar:`k`,NONE
PRBVNAM_HISTORY,"k,m",...,Probe variable name for probe condition :envvar:`k`,NONE
IFPRBVABS_HISTORY,"k,m",0,Specify if to use the absolute probe variable value for probe condition :envvar:`k`,NONE
PRBVROP_HISTORY,"k,m",' ',Probe variable relational operator for probe condition :envvar:`k`,NONE
PRBVAL_CRITICAL_HISTORY,"k,m",0.0,Critical value for probe condition :envvar:`k`,NONE
PRBDT_HISTORY,"k,m",0.0,Duration after the critical value has reached for probe condition :envvar:`k`,[t]
EPSADJ,,1.0,Multiplier for the calculated pressure iteration convergence criterion ,NON-DIM
EPSI,,-1.0,Constant baseline pressure iteration convergence criterion,[1/t]
ETA_REL,,0.05,Multiplier for the calculated relative convergence criterion for pressure iterations. ,NON-DIM
ETA_ABS,,1.0E-4,Multiplier for the calculated steady-state absolute convergence criterion.,NON-DIM
IADIX,,1,Pressure iteration option for x-direction,NONE
IADIY,,1,Pressure iteration option for y-direction,NONE
IADIZ,,1,Pressure iteration option for z-direction,NONE
IGMRES,,1,Pressure iteration option,NONE
IOPT_GMRES,,2,"Convergence criterion for the GMRES pressure solver. The GMRES pressure solver uses two types of convergence criteria. The absolute convergence criterion (v11.1 and earlier) uses a simple absolute convergence limit for the residual. The hybrid convergence criterion (v11.2 and later) uses a combination of absolute and relative convergence limits. The hybrid convergence criterion is more generic and accurate. However, because it often iterates more, it may be computationally more expensive for some problems.",NONE
IPUN,,1,"Uniform pressure adjustment for compressible flows (if :envvar:`IPUN` = 0, there is no adjustment; if :envvar:`IPUN` = 1 adjust the pressure once at the end of each cycle).",NONE
OMEGA,,...,Relaxation factor used in pressure iteration solvers.,NON-DIM
IAUTOSET,,0,Flag to use algorithm to automatically adjust subspace size used for GMRES pressure solver.,NONE
ITRNMAX,,7,Target number of iterations for GMRES pressure solver when :envvar:`IAUTOSET` = 1.,NONE
IEDT,,1,Selects the basis for long print and spatial plot intervals,NONE
LPR,,1,Debug level,NONE
PRTFRC,,0.1,Interval for long prints based on fill fraction (:envvar:`IEDT` = 2) or solid fraction (:envvar:`IEDT` = 3).,NON-DIM
TSPRTD,n,TWFIN` /10,,Short print interval from :envvar:`TEDIT(n-1)` to :envvar:`TEDIT(n)`,[t]
ESPRTDT,,10.0,Short print wall clock interval (in minutes).,[t]
TEDIT,n,...,Ending time of edit interval :envvar:`n`. Not used if unspecified.,[t]
TPRTD,n,TWFIN`/1,,Long print interval from :envvar:`TEDIT(n-1)` to :envvar:`TEDIT(n)`,[t]
ISWAT,,0,Shallow water model flag,NONE
IFVISWAT,,2,Flag for viscous flow for shallow water model.,NONE
IMP_SWAT,,1,Pressure-velocity coupling Explicit/Implicit option for the shallow water model,NONE    
IORDER_SWAT,,3,Momentum equation approximation flag for the shallow water model,NONE
ALPHA_SWAT,,1.0,Controls weighting of upstream values in advection approximations in the shallow water model when :envvar:`IORDER_SWAT` = 1,NONE
BTMSHR,,0.0026,Drag coefficient for quadratic bottom shear stress. Used when :envvar:`ISWATLOC` = 1 and :envvar:`IFVISWAT` = 2.,NONE
CD_MAX,,0.1,Maximum value of drag coefficient of bottom shear stress ,NONE
MANFILE,,...,File name for legend data file defining Manning's roughness coefficient ,NONE
FRCFIN,,1.0,Fill fraction (:envvar:`IFIN` = 2) or solid fraction (:envvar:`IFIN` = 3) for termination of the calculation,NON-DIM
IFIN,,1,Selects the basis for termination of the calculation,NONE
ICHKSTDY,n,1,Steady-state watch list,NONE
ITWFIN,,...,Number of times steps (cycles) to end calculation.,NONE
DLTSTDY,,1.0,Variation threshold below which the flow is considered steady state (in percent),PERCENTAGE
TSTDY,,0.1\ :math:`\times`\ :envvar:`TWFIN`,Time window over which the steady-state check is performed (in time units),[t]
TWFIN,,...,Time to end calculation,[t]
IFINPRB,,0,Active simulation control of termination flag,NONE
EVENT_NAME_FIN,,' ',Active simulation control of termination event name (up to 50 characters),NONE
IF_GLOBAL_FIN,,0,Flag for global condition,NONE
IGLOBAL_FIN,,0,Global condition id (used if :envvar:`IF_GLOBAL_FIN` = 1),NONE
NPROBES_FIN,,0,Number of local probe conditions for the active simulation control of termination event (used if :envvar:`IF_GLOBAL_FIN` = 0),NONE
EVENT_CONDITION_LOGIC_FIN,,' ',Logical operator between probe conditions for the event,NONE
IF_CONDITION_ENABLED_FIN,k,1,Probe condition :envvar:`k` enable/disable flag,NONE
IPRBD_FIN,k,0,Probe id for probe condition :envvar:`k`,NONE
IPRBSC_FIN,k,0,Scalar id for probe condition :envvar:`k`,NONE
IPRBSCN_FIN,k,0,Additional scalar index for probe condition :envvar:`k`,NONE
PRBVNAM_FIN,k,...,Probe variable name for probe condition :envvar:`k`,NONE
IFPRBVABS_FIN,k,0,Specify if to use the absolute probe variable value for probe condition :envvar:`k`,NONE
PRBVROP_FIN,k,' ',Probe variable relational operator for probe condition :envvar:`k`,NONE
PRBVAL_CRITICAL_FIN,k,0.0,Critical value for probe condition :envvar:`k`,NONE
PRBDT_FIN,k,0.0,Duration after the critical value has reached for probe condition :envvar:`k`,[t]
Y,,y or |theta| -coordinate,Z,
U,,Fluid x or r-velocity,V,
W,,Fluid z velocity,UMG,
P,,Pressure,F,
RHO,,Macroscopic density,TN,
TN2,,Temperature of fluid #2,TW,
HTC,,Effective heat transfer coefficient,UPR,
VPR,,Probe y or |theta| -velocity,WPR,
UPRMG,,Probe velocity magnitude,PSIZPR,
TEMPPR,,Probe temperature,QSR,
QSRV,,Volume source rate,MU,
TKE,,Turbulent energy,DTKE,
TOMEGA,,Turbulent omega,STNR,
VORTX,,x vorticity,VORTY,
