NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
SIZE,,0.0,"Cell size to be approximated for a uniform mesh. Used when :envvar:`IF_SIZE` = 1. :envvar:`SIZE` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and/or :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",cm,0.00025,'Size of Cells'
PX,1,...,nth location in x-direction for a mesh plane,cm,0,'Location of the Mesh Plane in the X Direction'
PX,2,...,nth location in x-direction for a mesh plane,cm,0.03,'Location of the Mesh Plane in the X Direction'
PY,1,...,nth location in y-direction for a mesh plane,cm,0,'Location of the Mesh Plane in the Y Direction'
PY,2,...,nth location in y-direction for a mesh plane,cm,0.03,'Location of the Mesh Plane in the Y Direction'
PZ,1,...,nth location in z-direction for a mesh plane,cm,0,'Location of the Mesh Plane in the Z Direction'
PZ,2,...,nth location in z-direction for a mesh plane,cm,0.023,'Location of the Mesh Plane in the Z Direction'
IF_MESH_ENABLED,,1,Activation flag for mesh block,NONE ,1,
OBS,BLOCK,BLOCK,Geometry data,BLOCK,BLOCK,BLOCK
FL,BLOCK,BLOCK,Fluid initial conditions,BLOCK,BLOCK,BLOCK
nfls,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2,
fluidRegionName,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'powder bed','Fluid Region Name'
ifdis,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,'Geometry'
treg,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,293,'Fluid Tempearture'
ffstl,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Base_Layer_Settling_GE/particle0011.stl','STL Geometry Filename'
if_flreg_enabled,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,
fluidRegionName,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'bulk','Fluid Region Name'
fzh,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.015,'Z High'
treg,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,293,'Fluid Tempearture'
if_flreg_enabled,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,
pvoid,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0e+06,'Default Void Initial Vapor Pressure'
iflinittyp,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,'Fluid Initialization'
BF,BLOCK,BLOCK,Baffle setup,BLOCK,BLOCK,BLOCK
MOTN,BLOCK,BLOCK,Non-inertial reference frame motion description,BLOCK,BLOCK,BLOCK
GRAFIC,BLOCK,BLOCK,Graphics output requests,BLOCK,BLOCK,BLOCK
anmtyp,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr1',
anmtyp,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr10',
anmtyp,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr11',
anmtyp,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr12',
anmtyp,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr13',
anmtyp,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr14',
anmtyp,7,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr15',
anmtyp,8,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr16',
anmtyp,9,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr2',
anmtyp,10,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr3',
anmtyp,11,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr4',
anmtyp,12,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr5',
anmtyp,13,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr6',
anmtyp,14,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr7',
anmtyp,15,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr8',
anmtyp,16,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sclr9',
anmtyp,17,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'sldfrc',
anmtyp,18,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'tn',
anmtyp,19,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'vel',
RENDERSPACE,BLOCK,BLOCK,FAVORizer data,BLOCK,BLOCK,BLOCK
HEADER,BLOCK,BLOCK,GUI data,BLOCK,BLOCK,BLOCK
project,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Base Layer Melt GE',
version,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'double',
nprocs,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
PARTS,BLOCK,BLOCK,Marker and mass particle setup,BLOCK,BLOCK,BLOCK
DETAILS,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
f3d_product_name,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'FLOW-3D',
f3d_version_number,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'12.0.2',
created,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'2023 Oct 02 22:17',
modified,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'2023 Oct 08 06:10',
weld,BLOCK,BLOCK,MISSING DESCRIPTION,BLOCK,BLOCK,BLOCK
nlbeam,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3,
ilbeam,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2,'surface detection method'
timlbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
timlbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.407e-3,
timlbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.408e-3,
timlbm,4,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.999e-3,
timlbm,5,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1e-3,
timlbm,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.407e-3,
timlbm,7,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.408e-3,
timlbm,8,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.999e-3,
timlbm,9,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2e-3,
timlbm,10,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2.407e-3,
timlbm,11,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2.408e-3,
timlbm,12,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3e-3,
xb0lbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-25e-4,'X position'
yb0lbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,75e-4,'Y position'
zb0lbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,'Z position'
r0lbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01,'lens radius'
rflbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25e-4,'spot radius'
dlflbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.9825,'focal distance'
rblbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0035355339,'Gauss dist. (rb)'
rzlbm,1,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,'Z direction'
powlbm,"1,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.95e9,
powlbm,"2,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.95e9,
powlbm,"3,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
powlbm,"12,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
utlbm,"1,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,86.0,
utlbm,"2,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,86.0,
utlbm,"3,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
utlbm,"12,1",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
xb0lbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-25e-4,'X position'
yb0lbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,150e-4,'Y position'
zb0lbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,'Z position'
r0lbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01,'lens radius'
rflbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25e-4,'spot radius'
dlflbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.9825,'focal distance'
rblbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0035355339,'Gauss dist. (rb)'
rzlbm,2,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1,'Z direction'
powlbm,"1,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
powlbm,"4,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
powlbm,"5,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.95e9,
powlbm,"6,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.95e9,
powlbm,"7,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
powlbm,"12,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
utlbm,"1,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
utlbm,"4,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
utlbm,"5,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,86.0,
utlbm,"6,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,86.0,
utlbm,"7,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
utlbm,"12,2",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
xb0lbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-25e-4,'X position'
yb0lbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,225e-4,'Y position'
zb0lbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1,'Z position'
r0lbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01,'lens radius'
rflbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25e-4,'spot radius'
dlflbm,3,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.9825,'focal distance'
