NAME,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE
BTMSHR,0.0026,Drag coefficient for quadratic bottom shear stress. Used when :envvar:`ISWATLOC` = 1 and :envvar:`IFVISWAT` = 2.,NONE,0.0026
wndshr,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.003
RMVISZ,1.5,Vertical viscosity multiplier,NONE,1.5
SSACC,0.0,"Damping rate coefficient for steady-state acceleration for free surface flows. Used when positive, and :envvar:`NMAT` = 1 and :envvar:`ITB` = 1.",NON-DIM  ,0.0
CD_MAX,0.1,Maximum value of drag coefficient of bottom shear stress ,NONE,0.1
IFSLD,0,Solidification model flag,NONE,1
ISHRNK,0,Solidification shrinkage flag,NONE,2
THCGAP,...,"Thermal conductivity of the gas in the gap, e.g., air.",g cm s^-3 K^-1\ ,0.06
EFE1GAP,0.0,Emissivity of solidified fluid #1 in the gap,NON-DIM,1.0
NCYC,0,Total number of thermal cycles,CYCLES,0
ncycpt_selected,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
RMF,0.0,Fluid fraction diffusion coefficient multiplier,NON-DIM,0.0
OFFSET,0.0,Distance in z-direction above the bottom of a reservoir at which velocity is computed and stored as part of the Hydraulic data output.,NONE,0.0
IPDIS,0,Flag for initial hydrostatic pressure distribution,NONE,0
IEVENT_RST,1,Active simulation control events restart flag,NONE,0
PLTFRC,0.1,Interval for restart spatial plots based on fill fraction (:envvar:`IEDT` = 2) or solid fraction (:envvar:`IEDT` = 3).,NON-DIM,0.1
PLTAFRC,0.01,Interval for selected spatial plots based on fill fraction (:envvar:`IEDT` = 2) or solid fraction (:envvar:`IEDT` = 3).,NON-DIM,0.01
ESPRTDT,10.0,Short print wall clock interval (in minutes).,s,10.0
PRTFRC,0.1,Interval for long prints based on fill fraction (:envvar:`IEDT` = 2) or solid fraction (:envvar:`IEDT` = 3).,NON-DIM,0.1
IEDT,1,Selects the basis for long print and spatial plot intervals,NONE,3
CONHT,0.45,Safety factor for explicit heat conduction/transfer time step size stability limit,NON-DIM,0.45
CONFS,1.0,Safety factor for free surface stability,NON-DIM,1.0
CONSHR,0.45,"Multiplier for sub-time stepping in rapid shrinkage model and microporosity models when used together with the implicit heat transfer solver, :envvar:`IMPHTC` :math:`>` 0.",NON-DIM,0.45
FRCTTSE,0.0,"Friction coefficient between Thermal Stress Evolution (TSE) region and neighboring Fluid Structure Interaction (FSI) components. A negative value indicates that the coefficient is infinite (i.e., tangential traction is not limited), and a positive value indicates the friction coefficient. Its value represents the ratio between the limit of the magnitude of tangential traction to the normal traction between the TSE region and the component face. Physical values are typically less than 1.0.",NONE,0.0
FSI_MEMORY,7.0,Amount of additional memory (in GB) that may be used to store data structures that can significantly speed up the FSI solver. ,GB (Giga Bytes),7
IMPADV2,0,"Time step control flag for implicit advection option, :envvar:`IMPADV` = 1",NONE    ,1
V_THRESH,1.0\ :math:`\times`\ 10\ :sup:`35`,Velocity threshold for implicit advection. Cells with velocity above :envvar:`V_THRESH` are treated implicitly. Used when :envvar:`IMPADV` = 1 and :envvar:`IMPADV2` = 1. ,cm/s,5
DT_THRESH,0.0,Time step threshold for implicit advection. Cells with local advective stability limit below :envvar:`DT_THRESH` are treated implicitly. Used when :envvar:`IMPADV` = 1 and :envvar:`IMPADV2` = 2. ,s],0
VOL_CORR_TIME,...,Characteristic time for fluid #1 volume correction. Defaults to 10.0 when :envvar:`IVOL_CORR_TIME` = 1. Must be positive when :envvar:`IVOL_CORR_TIME` = 2.,"NON-DIM if :envvar:`IVOL_CORR_TIME` = 1, [t] otherwise",10
EPSFSI,1.0\ :math:`\times`\ 10\ :sup:`-3`,Fluid-structure interaction (FSI) and thermal stress evolution (TSE) convergence criterion.,NON-DIM,1e-3
CGFOB,0.0,Coefficient of gravity effect on metal/foam heat transfer for the lost foam casting model (used in conjunction with foam component roughness).,NON-DIM,0.0
IMUPOR,0,Microporosity model flag,NONE,1
HFLV1,0.0,Heat transfer coefficient for fluid #1 to type 1 void,g K^-1 s^-3,40
HFLV2,0.0,Heat transfer coefficient for fluid #1 to type 2 void,g K^-1 s^-3,0
HFLV3,0.0,Heat transfer coefficient for fluid #1 to type 3 void,g K^-1 s^-3,0
HFLEM1,0.0,Emissivity for fluid #1 to type 1 void,NON-DIM,0.0
HFLEM2,0.0,Emissivity for fluid #1 to type 2 void,NON-DIM,0.0
HFLEM3,0.0,Emissivity for fluid #1 to type 3 void,NON-DIM,0.0
CMF,0.0,Fluid mass diffusion coefficient,g cm^-1 s^-1,0
RHOAIR,...,"Air density for use in the calculation of wind shear stress on horizontal fluid surfaces, air drag for mooring lines, ",g/cm^3],1.225
NGLOBALS,0,Number of global conditions,NONE,0
LIMITS,BLOCK,Computational and print limits,BLOCK,BLOCK
ITHTMX,100,Maximum number of temperature iterations per cycle ,NONE,100
IDTHT,10,Maximum number of temperature iterations before the time step is reduced,NONE,10
ITMAX,...,Maximum number of pressure iterations per cycle ,NONE,100
ITFLMX,25,Maximum number of pressure iteration failures allowed ,NONE,25
MRSTRT,15,Restart number for GMRES pressure solver. It is not allowed to be less than 15 or greater than 100.,NONE,25
ITESMX,30,Maximum number of implicit elastic stress iterations,NONE,30
IDTES,15,Maximum number of elastic iterations before the time step is reduced,NONE,15
ITVSMX,...,Maximum number of implicit viscous stress iterations,NONE,0
ITMAXCG,1000,Maximum number of core gas pressure solver iterations ,NONE,1000
ITSHMX,100,Maximum number of volume iterations for the simple shrinkage model,NONE,100
MRSTRTFSI,20,Restart number for GMRES Fluid structure interaction (FSI) and thermal stress evolution (TSE) solver. It is not allowed to be less than 6 or greater than 1000.,NONE,35
itminfsi,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ITMAXFSI,25,Maximum number of Fluid Structure Interaction (FSI) or Thermal Stress Evolution (TSE) solver iterations ,NONE,50
IITMX,1,Inner iteration count maximum for non-linear equation-of-state ,NONE,1
NSTSHR,10,Maximum number of sub-time steps for simple shrinkage and microporosity models,NONE,10
EPS,0.01,Cutoff value for the evaluation of area and volume fractions,NON-DIM,0.01
VFCLEAN,0.05,Volume fraction cleanup coefficient. Fully blocks cells where local (isolated) open volume fraction is less than :envvar:`VFCLEAN`.,NON-DIM,0.05
NCFLMX,2,Maximum number of consecutive convection or pressure convergence failures allowed,NONE,10
PROPS,BLOCK,Fluid properties,BLOCK,BLOCK
RCSQL,0.0,Reciprocal (|rho| •c\ :sup:`2`) of fluid #1,cm s^2/g,1.0e-10
RCSQV,0.0,Reciprocal (|rho| •c\ :sup:`2`) of fluid #2,cm s^2/g,0
UNITS,...,Character string used to identify units (up to 10 characters),NONE,'si'
TUNITS,...,Character string used to identify temperature units (up to 10 characters),NONE,'c'
MUNITS,...,"Character string used to identify mass units when ""Custom"" option is chosen (up to 10 characters)",NONE,'kg'
LUNITS,...,"Character string used to identify length units when ""Custom"" option is chosen (up to 10 characters)",NONE,'m'
TIMUNITS,...,"Character string used to identify time units when ""Custom"" option is chosen (up to 10 characters)",NONE,'s'
CUNITS,...,"Character string used to identify charge units when ""Custom"" option is chosen (up to 10 characters)",NONE,'coul'
RFNC,0.0,Specific gas constant for the non-condensable gas component.,cm^2 s^-2 K^-1,287.058
CVNC,0.0,Specific heat for the non-condensable gas component.,cm^2 s^-2 K^-1,718.81
GAMMA,1.4,"Exponent in void region equation of state, ``P*V^GAMMA = constant``. Zero or negative value indicates constant pressure. :envvar:`GAMMA` = ratio of specific heats of 'void' gas C\ :sub:`p`/C\ :sub:`v`, assumed constant.",NON-DIM,1.4
DFCD,0.5,Drag coefficient for a particle of the dispersed phase moving in the continuous phase.,NON-DIM,0.5
DFDIAM,0.0,Average particle diameter of the dispersed phase. Used when :envvar:`IDSIZE=` = 0.,cm,0
DFDIAM_INI,0.0,Initial particle diameter of the dispersed phase. Used when :envvar:`IDSIZE=` = 1.,cm]    ,0
RZMLT,1.0,Constant multiplier for dynamically-computed Richardson-Zaki coefficient,NON-DIM,1.0
MU1,MUI,Dynamic viscosity of fluid #1,g cm^-1 s^-1,0.0019
F1MX,1.0,Maximum volume fraction of phase #1.,NON-DIM,1.0
PERMDER,0.0,Fluid electric permittivity derivative with respect to temperature,1/K,0
CONDDER,0.0,Fluid electric conductivity derivative with respect to temperature,1/K,0
FREQUEN,0.0,Angular frequency of external electric field,1/s,0
RHOMST,...,Moisture fluid density,g/cm^3,1000
CVMST,...,Moisture specific heat,cm^2 s^-2 K^-1,4187
TVMST,...,Evaporation temperature,K,100
CLHVMST,...,Latent heat of vaporization,cm^2/s^2,2.27e6
CANGLE,+90°,Static contact angle (in degrees) for fluid #1 wall adhesion,DEGREES,90
FRCOF,-1.0,Coefficient of friction between fluid and solid walls for the partial slip model. A zero value corresponds to free slip and an infinite value to no-slip. A negative value turns off the partial slip model. Also see :envvar:`OFRCOF` in namelist :envvar:`OBS`.,g cm^-2 s^-1,-1.0
FGRNMX,0.63,Close packing volume fraction,NON-DIM,0.63
FGRNLPK,0.873 :math:`\cdot` :envvar:`FGRNMX`,Loose random packing volume fraction,NON-DIM,0.0
DIAGRN,0.0,Average grain diameter,cm,0
RHOGRN,0.0,Grain density,g/cm^3,0
GASDEN,0.0,"Density of the fluid surrounding granular material (gas for :envvar:`IFGRN` = 1, liquid for :envvar:`IFGRN` = 2)",g/cm^3,0
GASVIS,0.0,"Dynamic viscosity of the fluid surrounding granular material (gas for :envvar:`IFGRN` = 1, liquid for :envvar:`IFGRN` = 2)",g cm^-1 s^-1,0
DRGGRN,1.0,Multiplier in packing drag,NON-DIM,1.0
CVELGRN,1.0,"The absolute value of :envvar:`CVELGRN` is used as multiplier for threshold packing velocity. A larger value results in earlier packing. When :envvar:`CVELGRN` is negative, then full jamming is not produced - the granular mixture continues to move even at packing density.",NON-DIM,1.0
ANGREP,:math:`\text{34}^{\circ}`,Angle of repose,DEGREES,34
GRNREST,0.7,Grain restitution coefficient,NON-DIM     ,0.7
PGASMP,...,"Critical pressure below which pores can form during solidification. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",g cm^-1 s^-2]    ,91170
CIRON,0.0,"Initial carbon content, % weight",NON-DIM,0.0
SIIRON,0.0,"Initial silicon content, % weight",NON-DIM,0.0
RHOGAMMA,...,Density of the |gamma|-iron phase (austenite),g/cm^3,7170
RHOCARBIDE,...,Density of the carbide formed during eutectic reaction,g/cm^3,7100
RHOGRAPHITE,...,Density of the graphite formed during the eutectic reaction,g/cm^3,2200
RHOENDIRON,...,Density of the solid phase formed after eutectic reaction,g/cm^3,6400
FSEUTE,0.95,Solid fraction at the end of eutectic reaction,NON-DIM,0.95
FLUID1,"""  """,Character string allowing user to identify fluid #1 (up to 50 characters),NONE,'Aluminum Silicon Alloy A356 Auburn Univ data'
MUC00,0.0,Coefficient in strain rate-dependent viscosity model,NON-DIM,0.0
MUC0,1.0,Coefficient in strain rate-dependent viscosity model,NON-DIM,1.0
MUC1,0.0,Coefficient in strain rate-dependent viscosity model,s,0
MUC4,0.0,Coefficient in strain rate-dependent viscosity model,g cm^-1 s^-2,0
MUC2,0.0,Coefficient in strain rate-dependent viscosity model,NON-DIM,0.0
MUC3,0.0,Coefficient in strain rate-dependent viscosity model,g cm^-1 s^-1,0
MUTMP1,0.0,Coefficient in temperature-dependent viscosity model,NON-DIM,0.0
MUTMP2,0.0,Coefficient in temperature-dependent viscosity model,K,0
MUTMP3,1.0,Coefficient in temperature-dependent viscosity model,NON-DIM,1.0
MUTHN0,0.0,First coefficient in the strain rate-dependent rate of viscosity decrease (flow thinning) in the thixotropic model,1/s,0
MUTHN1,0.0,Second coefficient in the strain rate-dependent rate of viscosity decrease (flow thinning) in the thixotropic model,NON-DIM,0.0
MUTHK,0.0,Rate of viscosity increase (flow thickening) in the thixotropic model,1/s,0
MUI,0.0,Initial coefficient of dynamic viscosity for thixotropic flow model,g cm^-1 s^-1,0
THEXF1,0.0,Volumetric thermal expansion coefficient for fluid #1,1/K,5.75005e-05
THEXF2,0.0,Volumetric thermal expansion coefficient for fluid #2,1/K,0
RF2,0.0,Specific gas constant of fluid #2 (:envvar:`RF2` = (:envvar:`GAMMA`-1)•:envvar:`CV2` for a gamma-law gas),cm^2 s^-2 K^-1,287.058
CV1,0.0,Specific heat of fluid #1,cm^2 s^-2 K^-1,1074
POFL1,0.0,Uniform power source per unit mass for fluid #1,cm^2/s^2,0
POFL2,0.0,Uniform power source per unit mass for fluid #2,cm^2/s^2,0
TSTAR,0.0 degrees C or F,Reference temperature for temperature-dependent fluid properties,K,617.96
TL1,0.0,Liquidus temperature of fluid #1,K,608
TS1,0.0,Solidus temperature of fluid #1,K,552.4
CLHT1,0.0,Latent heat of fusion in fluid #1,cm^2 s^-2,432200
CVS1,CV1,Specific heat of solidified fluid #1,cm^2 s^-2 K^-1,963
THCS1,THC1,Thermal conductivity of solidified fluid #1,g cm s^-3 K^-1,178.23
RHOFS,RHOF,Density of solidified fluid #1,g/cm :sup:3,2560
THEXS1,0.0,Volumetric thermal expansion coefficient of solidified phase of fluid #1 (used in elastic stress model).,1/K,0
TSDRG,1.0,Coefficient of solidification drag,1/s,750
ADJSHR,1.0,Multiplication coefficient for volume change during solidification. Values must not be negative. ,NON-DIM,1.0
FSCR,0.67,Critical solid fraction above which metal has no fluidity,NON-DIM,0.68
FSCO,0.15,Fraction of solid at coherency point. ,NON-DIM,0.16
TEUT,...,Eutectic temperature ,K,0
PCOEF,...,Partition coefficient,NON-DIM,0
CSTAR,0.0,Reference solute concentration for concentration-dependent density. :envvar:`CSTAR` also corresponds to :envvar:`TS1` and :envvar:`TL1` on the phase diagram.,g/cm^3,0
PV1,1.013 :math:`\times` 10\ :sup:`6`,Absolute pressure value on the saturation curve that corresponds to temperature :envvar:`TV1`. The saturation curve defines a relationship between saturation pressure and temperature.,g cm^-1 s^-2,101300
TV1,...,Temperature value on the saturation curve that corresponds to pressure :envvar:`PV1`. The saturation curve defines a relationship between saturation pressure and temperature. ,K,100
CLHV1,...,Latent heat of vaporization/condensation constant (\ :envvar:`ICLHV1` = 0) *or* value at temperature :envvar:`THV1` (when :envvar:`ICLHV1` = 2),cm^2/s^2,2.256e+06
RSIZE,0.0,Dimensionless accommodation coefficient for the liquid/vapor evaporative phase change rate.,NON-DIM,0.01
CVVAP,...,Vapor specific heat at constant volume of vaporized fluid 1 (\ :envvar:`IPHCHG` = 4) or fluid 2 (\ :envvar:`IPHCHG` = 5).,cm^2 s^-2 K^-1,1430
TVEXP,0.0,Exponent in the relationship between saturation pressure and temperature. For perfect gas :envvar:`TVEXP` is equal to (\ :envvar:`GAMMA` -1.0)*\ :envvar:`CVVAP`/\ :envvar:`CLHV1`. The saturation curve is defined by the Clapeyron equation:,NON-DIM,0.0
TV0,0.0,Superheat temperature. Liquid in the bulk is allowed to heat to :envvar:`TV0` degrees before it starts evaporating (or boiling).,K,-273.15
PV0,0.0,Partial pressure of vapor in void regions.,g cm^-1 s^-2,0
TC0,0.0,Supercooling temperature. Gas in the bulk is allowed to cool to :envvar:`TC0` degrees before it starts condensing.,K,-273.15
RHOF,-1.0,"Density of fluid #1. For temperature-dependent density, fluid #1 density at T=\ :envvar:`TSTAR`.",g/cm :sup:3,2437
SIGMA,0.0,Surface tension coefficient; same as used in :ref:`SurfaceTensionProperties`.,g/s^2,0.823
SIGMA_DF,...,Surface tension coefficient at the interface between two phases,g s^-2,0
CSIGMA,0.0,Surface tension coefficient temperature sensitivity,g s^-2 K^-1,0
ECOND1,0.0,Fluid #1 electric conductivity,scoul^2 s g^-1 cm^-3,0
EMOB1,0.0,Fluid #1 electric charge mobility,scoul s g^-1,0
ECOND2,0.0,Fluid #2 electric conductivity,scoul^2 s g^-1 cm^-3,0
EMOB2,0.0,Fluid #2 electric charge mobility,scoul s g^-1,0
EMODT1,0.0,Fluid #1 shear elastic modulus temperature sensitivity,g cm^-1 s^-2 K^-1,0
EMODT2,0.0,Fluid #2 shear elastic modulus temperature sensitivity,g cm^-1 s^-2 K^-1,0
MUS,0.0,Additional viscosity coefficient for density- or solid-fraction-dependent viscosity model. Only used when :envvar:`MUS` :math:`>` 0.0.,g cm^-1 s^-1,1.9
THC1,-1.0,Thermal conductivity of fluid #1,g cm s^-3 K^-1,86.9
THC2,-1.0,Thermal conductivity of fluid #2,g cm s^-3 K^-1,0
EMOD1,0.0,Shear elastic modulus for fluid #1,g cm^-1 s^-2,0
EMOD2,0.0,Shear elastic modulus for fluid #2,g cm^-1 s^-2,0
ITHC1,0,Flag for the definition of thermal conductivity of fluid #1,NONE,1
MOBLTY1,0.0 (no mobility),Mobility factor for fluid #1. Positive values only. Is needed to define a Giesekus fluid.,NON-DIM,0.0
MOBLTY2,0.0 (no mobility),Mobility factor for fluid #2. Positive values only. Is needed to define a Giesekus fluid.,NON-DIM,0.0
RELAX2,-1.0,"Relaxation time of fluid #2 for Oldroyd-B viscoelasticity model. Any value less than or equal to 0.0 means that the relaxation time is infinite, that is, no relaxation.",s,0
RHOCAV,...,"Cavitation gas density, used with the empirical cavitation model, :envvar:`ICAV` = 1 and :envvar:`ICAVMODEL` = 1.",g cm^-3,1.225
CAVPROD,0.02,"Empirical cavitation production coefficient, used with the empirical cavitation model, :envvar:`ICAV` = 1 and :envvar:`ICAVMODEL` = 1.",NON-DIM,0.02
CAVDISS,0.01,"Empirical cavitation dissipation coefficient, used with the empirical cavitation model, :envvar:`ICAV` = 1 and :envvar:`ICAVMODEL` = 1.",NON-DIM,0.01
IPGAUGE,...,"Pressure type, absolute or gauge, for all pressure quantities used in the simulation.",NONE,0
P_REFERENCE,...,"Absolute reference pressure. Defaults to 1 atm. in SI, CGS, engineering or custom units appropriately, based on :envvar:`UNITS` specified.",g cm^-1 s^-2,101300
T_REFERENCE,0.0 C,Reference temperature.,g cm^-1 s^-2]    ,25
cbase,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Al'
cwt_si,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,7
cwt_cu,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.15
cwt_mg,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.35
cwt_mn,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.25
cwt_fe,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.15
cwt_zn,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.25
uts_n,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uts_k,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ws_elongation,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ws_yield,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ws_uts,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uts_n_ac,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
uts_k_ac,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ws_elongation_ac,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ws_yield_ac,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ws_uts_ac,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
FSTSE,1.0,Solid fraction for Thermal Stress Evolution (TSE) elements activation. 0 :math:`<` FSTSE :math:`<=` 1.,NON-DIM,1.0
BLKMOD_LIQ,0.0,"Bulk modulus of liquid phase. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",g cm^-1 s^-2],4.1e+10
BLKMOD_FSCR,0.0,"Bulk modulus of solidifing fluid at critical solid fraction :envvar:`FSCR`. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",g cm^-1 s^-2],6.75e+10
MUVOID,0.0,"Dynamic viscosity of the void region. Used in the permeable mold model, :envvar:`IOBSVENT(n)` = 1.",g cm^-1 s^-1,1.71e-5
DFESP_COEFF,1.0,Escape rate coefficient for gas escape velocity at free surface,NON-DIM      ,1.0
FLHTC,-1.0,Heat-transfer coefficient between fluid #1 and #2,g K^-1 s^-3]    ,-1.0
SCALAR,BLOCK,Scalar species parameters,BLOCK,BLOCK
NSSPC,0,Number of sediment species (\ :envvar:`NSSPC` :math:`\leq` 10),NONE,0
NSC,0,Number of user-defined scalar species,NONE,0
IDFAIR,0,Flag to activate air entrainment model. A non-zero value activates the model.,NONE,0
DFAIR,0.5,Air entrainment rate coefficient,NON-DIM,0.05
SCRFCR,0.64,Critical solid fraction. Represents the total solid fraction beyond which the sediment is completely packed.,NON-DIM,0.64
CROUGH,2.5,"Roughness coefficient for surface of packed sediment bed (roughness :math:`k_s=c_{\rm{rough}} d_{50,\rm{packed}}`)",NON-DIM,2.5
IDFCT,0,Free surface defect tracking model flag,NONE,0
DFTSRF,1.0,Coefficient of proportionality for free-surface-generated defects (defects created per unit time per unit area).,s^-1 cm^-2,10
DFTFOB,1.0,Coefficient of proportionality for foam residue (amount of foam residue per unit volume of decomposed solid foam).,NON-DIM,1.0
DFCTW,Wicked foam residue concentration,DFCT,0.5
DISSSAT,0.0,Solute concentration at saturation,g/cm^3,0
DISSMTC,0.0,Mass transfer coefficient for solid solute components,cm/s,0
DISSALPHA,1.0,Mixture density coefficient:,NON-DIM,1.0
WEBCRIT,1.6,Critical Weber number above which particles break up,NON-DIM,1.6
CAPCRIT,1.0,Critical capillary number above which particles break up,NON-DIM     ,1.0
MAXECHRG,20,Maximum iterations for coupled electric field-electric charge solver,NONE     ,20
MAXPHIT,1000,Maximum iterations for electric (external) potential solver,NONE,1000
MAXPSIT,1000,Maximum iterations for zeta-potential solver,NONE     ,1000
EPSELE,1.0E-06,Convergence criterion for electric (external) potential ,NON-DIM,0.000001
EPSPSI,1.0E-06,Convergence criterion for Zeta potential,NON-DIM,0.000001
CONCEN,0.0,Average ion concentration in bulk flow.,mol cm^-3,0
MUSC_SLDG,0.0,Dynamic viscosity of sludge,g cm^-1 s^-1,-0.1
CMSC_SLDG,0.0,Molecular diffusion coefficient of sludge,g cm^-1 s^-1,0
RMSCS_SLDG,0.0,Turbulent diffusion coefficient multiplier for sludge,NONE,0.0
CMDFT,0.0,Molecular diffusion coefficient of free surface defects,g cm^-1 s^-1,0
CMDFT_LF,0.0,Molecular diffusion coefficient of foam residue defects,g cm^-1 s^-1,0
RMDFT,0.0,Turbulent diffusion coefficient multiplier for free surface defects,NON-DIM,0.0
RMDFT_LF,0.0,Turbulent diffusion coefficient multiplier for foam residue defects,NON-DIM,0.0
CMSEG,0.0,Molecular diffusion coefficient of the solute mass concentration,g cm^-1 s^-1,0
RMSEG,0.0,Turbulent diffusion coefficient multiplier for the solute mass concentration,NON-DIM,0.0
RMSC,...,Turbulent diffusion coefficient multiplier,NON-DIM,0.0
SSRZMLT,1.0,Richardson-Zaki coefficient multiplier.,NON-DIM,1.0
